% -----------------------------------------------------------------------------
% MACRO       UNICODE CHARACTER      UNICODE HEX VALUE
% -----------------------------------------------------------------------------
% =============================================================================
% LETTERS (SETS: BASE,FULL)

\AA                   Å              C5
\3A    ✚             271A
\3B    ✛             271B
\3C    ✜             271C
\3D    ✝             271D
\3E    ✞             271E
\3F    ✟             271F
\40    ✠             2720
\41    ✡             2721
\42    ✢             2722
\43    ✣             2723
\44    ✤             2724
\45    ✥             2725
\46    ✦             2726
\47    ✧             2727
\48    ★             2605
\49    ✩             2729
\4A    ✪             272A
\4B    ✫             272B
\4C    ✬             272C
\4D    ✭             272D
\4E    ✮             272E
\4F    ✯             272F
\50    ✰             2730
\51    ✱             2731
\52    ✲             2732
\53    ✳             2733
\54    ✴             2734
\55    ✵             2735
\56    ✶             2736
\57    ✷             2737
\58    ✸             2738
\59    ✹             2739
\5A    ✺             273A
\5B    ✻             273B
\5C    ✼             273C
\5D    ✽             273D
\5E    ✾             273E
\5F    ✿             273F
\60    ❀             2740
\61    ❁             2741
\62    ❂             2742
\63    ❃             2743
\64    ❄             2744
\65    ❅             2745
\66    ❆             2746
\67    ❇             2747
\68    ❈             2748
\69    ❉             2749
\6A    ❊             274A
\6B    ❋             274B
\6C    ●             25CF
\6D    ❍             274D
\6E    ■             25A0
\6F    ❏             274F
\70    ❐             2750
\71    ❑             2751
\72    ❒             2752
\73    ▲             25B2
\74    ▼             25BC
\75    ◆             25C6
\76    ❖             2756
\77    ◗             25D7
\78    ❘             2758
\79    ❙             2759
\7A    ❚             275A
\7B    ❛             275B
\7C    ❜             275C
\7D    ❝             275D
\7E    ❞             275E
\A1    ❡             2761
\A2    ❢             2762
\A3    ❣             2763
\A4    ❤             2764
\A5    ❥             2765
\A6    ❦             2766
\A7    ❧             2767
\A9    ♦             2666
\AA    ♥             2665
\AC    ①             2460
\AD    ②             2461
\AE    ③             2462
\AF    ④             2463
\B0    ⑤             2464
\B1    ⑥             2465
\B2    ⑦             2466
\B3    ⑧             2467
\B4    ⑨             2468
\B5    ⑩             2469
\B6    ❶             2776
\B7    ❷             2777
\B8    ❸             2778
\B9    ❹             2779
\BA    ❺             277A
\BB    ❻             277B
\BC    ❼             277C
\BD    ❽             277D
\BE    ❾             277E
\BF    ❿             277F
\C0    ➀             2780
\C1    ➁             2781
\C2    ➂             2782
\C3    ➃             2783
\C4    ➄             2784
\C5    ➅             2785
\C6    ➆             2786
\C7    ➇             2787
\C8    ➈             2788
\C9    ➉             2789
\CA    ➊             278A
\CB    ➋             278B
\CC    ➌             278C
\CD    ➍             278D
\CE    ➎             278E
\CF    ➏             278F
\D0    ➐             2790
\D1    ➑             2791
\D2    ➒             2792
\D3    ➓             2793
\D4    ➔             2794
\D6    ↔             2194
\D7    ↕             2195
\D8    ➘             2798
\D9    ➙             2799
\DA    ➚             279A
\DB    ➛             279B
\DC    ➜             279C
\DD    ➝             279D
\DE    ➞             279E
\DF    ➟             279F
